Last Name,First Name,Having the government issue additional debt to pay off all current outstanding student loans would be net regressive.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Having the government issue enough additional debt to pay off student loans up to a threshold, for borrowers whose income is below a certain level, could be progressive.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Extension of the suspension of payments on student loans after the end of the year would support the recovery more effectively than devoting equivalent resources to general income-based transfer payments.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Goolsbee,Austan,Uncertain,6,"The largest dollar amounts student debt come fr/professional schools--MD, JD, MBAs-. Waiving those is high income oriented.",Strongly Agree,1,,Uncertain,6,We do know one thing for certain: targeted debt relief is more stimulus than Congress not being able to do anything
Greenstone,Michael,Strongly Agree,7,,Uncertain,2,,Strongly Disagree,5,
Hall,Robert,Uncertain,1,"Depends on how the incremental debt is financed, a guessing  game. But why would we think of paying off debt of people who are well off?",Agree,10,Anything is possible. But this would add another piece to the dependency barrier to work,Disagree,3,"Again, why do this for prosperous people with student debt?"
Hart,Oliver,Agree,5,,Agree,6,,Disagree,5,
Holmström,Bengt,Uncertain,3,,Agree,3,,Uncertain,3,
Hoxby,Caroline,Strongly Agree,10,,Uncertain,10,"An empirical, not logical, question.It would depend on the details.Data/analysis would be needed.No serious person answers with certainty.",Uncertain,10,"People w student loans vary from young, living w parents, to older, supporting family on a reduced income.This would poorly targeted relief."
Hoynes,Hilary,Uncertain,8,,Agree,8,,Disagree,8,
Judd,Kenneth,Strongly Agree,9,,Agree,7,,Disagree,6,Transfer payments should be aimed at low income and liquidity constrained people. Many with student debt are liquidity constrained.
Kaplan,Steven,Agree,3,"Whether regressive or not, it is not a good idea for fairness and efficiency reasons.",Agree,7,"Not a great question.  If you do it for low enough incomes, it will be progressive.  It is still not a good idea.",Disagree,5,Suspect you could target aid to those more in need than the typical student loan recipient.
Kashyap,Anil,Strongly Agree,7,"google adam looney student loans, below is just one example ",Agree,5,"depends on the threshold and the limit, but chosen carefully this could be progressive. there are still major fairness issues with this idea",Uncertain,3,lots of moving parts to calculate the benefits from this policy. 
Klenow,Pete,Agree,3,Student loan debt / income looks like it is increasing in income.,Agree,5,,Uncertain,3,
Levin,Jonathan,Agree,4,,Uncertain,3,"Perhaps, but seems unlikely if you’re providing funds only to people who have attended college. ",Disagree,3,
Maskin,Eric,Agree,5, Blanket loan forgiveness would help those who went to college at the expense of those who didn't,Agree,7,,Uncertain,4,
Nordhaus,William,No Opinion,,,Agree,3,,Disagree,6,
Obstfeld,Maurice,Uncertain,4,,Agree,4,,Uncertain,4,
Saez,Emmanuel,Uncertain,7,"Depends on how the government debt is going be repaid: progressive vs. regressive taxation, or implicit inflation tax ",Agree,8,,Uncertain,6,Cancelling interest on student debt is easy to implement. Income based transfers based on current income (not past year income) is very hard
Samuelson,Larry,Agree,8,,Agree,8,,Uncertain,1,"Both would support recovery, but would be most effective if targeted to those in most need, and its not clear which would do this better. "
Scheinkman,José,Agree,7,,Agree,7,,Disagree,7,However it may be easier to suspend student-loan payments than to pass income-based transfer payments with a Republican Senate. 
Schmalensee,Richard,Agree,3,"Because of for-profit schools that added little value, one can't be confident that former students have above-average median wealth. ",Agree,4,"Seems more likely than not, if ""income"" is properly measured.",Uncertain,6,Too many unknown.
Shapiro,Carl,Agree,6,,Agree,8,,Uncertain,4,
Shimer,Robert,Agree,6,This is relative to other ways the government typically makes transfer payments,Agree,6,But this may also lead to high implicit marginal tax rates and hence poor incentives,Agree,6,General income-based transfer payments are ill-conceived until after a vaccine is widely available. This is faint praise for loan suspension
Stock,James,Agree,3,,Agree,4,,Disagree,3,
Thaler,Richard,Strongly Agree,5,,Uncertain,1,Depends on the details,Disagree,5,Seems like a weak stimulus. College grads are already saving a lot. Its the bottom quartile that needs help the most and will spend it. 
Udry,Christopher,Agree,7,,Strongly Agree,6,"The design is not trivial, but it could be done.",Disagree,7,
